sequenced_tid	corrected_TID
tid_1194	tid_1194
tid_1199	tid_1199
tid_120	tid_120
tid_1201	tid_1201
tid_1202	tid_1202
tid_1203	tid_1203
tid_121	tid_121
tid_1212	tid_1212
tid_1214	tid_1214
tid_1216	tid_1216
tid_1217	tid_1217
tid_1218	tid_1218
tid_1219	tid_1219
tid_122	tid_122
tid_1221	tid_1221
tid_1222	tid_1222
tid_1226	tid_1226
tid_123	tid_123
tid_124	tid_124
tid_1241	tid_1241
tid_1243	tid_1243
tid_1244	tid_1244
tid_1252	tid_1252
tid_1256	tid_944
tid_1257	tid_1257
tid_126	tid_126
tid_1262	tid_1262
tid_1264	tid_1264
tid_1265	tid_1265
tid_1268	tid_1268
tid_1269	tid_1269
tid_127	tid_127
tid_1270	tid_1270
tid_1273	tid_1119
tid_1276	tid_1276
tid_1277	tid_1277
tid_1278	tid_1278
tid_128	tid_128
tid_1281	tid_1281
tid_1287	tid_1287
tid_129	tid_129
tid_1294	tid_1294
tid_1296	tid_1296
tid_1302	tid_1302
tid_1305	tid_1305
tid_131	tid_131
tid_1310	tid_1310
tid_1311	tid_1311
tid_1312	tid_1312
tid_1313	tid_1313
tid_1314	tid_1314
tid_1316	tid_1316
tid_1319	tid_1319
tid_132	tid_132
tid_1321	tid_1321
tid_1322	tid_1322
tid_1324	tid_1324
tid_1325	tid_1325
tid_1326	tid_1326
tid_1328	tid_1328
tid_1329	tid_1329
tid_133	tid_133
tid_1330	tid_1330
tid_1332	tid_1332
tid_1333	tid_1333
tid_1339	tid_1339
tid_1341	tid_1341
tid_1347	tid_1347
tid_135	tid_135
tid_1350	tid_1350
tid_136	tid_136
tid_137	tid_137
tid_138	tid_138
tid_139	tid_139
tid_14	tid_14
tid_142	tid_142
tid_143	tid_143
tid_145	tid_145
tid_1451	tid_1451
tid_1452	tid_1452
tid_1456	tid_1456
tid_1457	tid_1457
tid_1458	tid_1458
tid_1459	tid_1459
tid_146	tid_146
tid_1461	tid_1461
tid_1462	tid_1462
tid_1463	tid_1463
tid_1464	tid_1464
tid_1465	tid_1465
tid_1466	tid_1466
tid_1467	tid_1467
tid_1469	tid_1469
tid_147	tid_147
tid_1470	tid_1470
tid_1471	tid_1471
tid_1473	tid_1473
tid_1474	tid_1474
tid_1475	tid_1475
tid_1477	tid_1477
tid_1479	tid_1479
tid_148	tid_148
tid_1483	tid_1483
tid_1489	tid_1489
tid_149	tid_149
tid_1490	tid_1490
tid_1491	tid_1491
tid_1499	tid_1499
tid_150	tid_150
tid_1504	tid_1504
tid_1506	tid_1506
tid_1511	tid_1511
tid_1519	tid_1519
tid_152	tid_152
tid_1522	tid_1522
tid_1524	tid_1524
tid_1525	tid_1525
tid_1528	tid_1528
tid_153	tid_153
tid_1531	tid_1531
tid_1533	tid_1533
tid_1534	tid_1534
tid_1535	tid_1535
tid_1545	tid_1545
tid_1546	tid_1546
tid_1551	tid_1551
tid_1552	tid_1552
tid_1558	tid_1558
tid_1561	tid_1561
tid_1562	tid_1562
tid_1569	tid_1569
tid_1575	tid_1575
tid_1576	tid_1576
tid_1577	tid_1577
tid_1578	tid_1578
tid_1579	tid_1579
tid_158	tid_158
tid_1582	tid_1582
tid_1583	tid_1583
tid_1597	tid_1597
tid_1598	tid_1598
tid_1599	tid_1599
tid_1602	tid_1602
tid_1603	tid_1603
tid_1604	tid_1604
tid_1607	tid_1607
tid_1611	tid_1611
tid_1612	tid_1612
tid_1613	tid_1613
tid_1614	tid_1614
tid_162	tid_162
tid_1622	tid_1622
tid_1623	tid_1623
tid_1625	tid_1625
tid_1628	tid_1628
tid_163	tid_163
tid_1632	tid_1632
tid_1633	tid_1633
tid_1635	tid_1635
tid_1636	tid_1636
tid_1637	tid_1637
tid_1639	tid_1639
tid_164	tid_164
tid_1643	tid_1643
tid_1649	tid_1649
tid_165	tid_165
tid_1650	tid_1650
tid_1655	tid_1655
tid_1658	tid_1658
tid_1659	tid_1659
tid_1668	tid_1668
tid_1675	tid_1675
tid_1677	tid_1677
tid_168	tid_168
tid_17	tid_17
tid_170	tid_170
tid_172	tid_172
tid_175	tid_175
tid_178	tid_178
tid_179	tid_179
tid_18	tid_18
tid_180	tid_180
tid_181	tid_181
tid_186	tid_186
tid_187	tid_187
tid_189	tid_189
tid_19	tid_19
tid_190	tid_190
tid_192	tid_192
tid_193	tid_193
tid_195	tid_195
tid_196	tid_196
tid_197	tid_197
tid_198	tid_198
tid_199	tid_199
tid_201	tid_201
tid_203	tid_203
tid_205	tid_205
tid_211	tid_211
tid_212	tid_212
tid_214	tid_214
tid_216	tid_216
tid_22	tid_22
tid_220	tid_220
tid_221	tid_221
tid_222	tid_222
tid_225	tid_225
tid_229	tid_229
tid_231	tid_231
tid_232	tid_232
tid_233	tid_233
tid_234	tid_234
tid_235	tid_235
tid_237	tid_237
tid_240	tid_240
tid_241	tid_241
tid_243	tid_243
tid_244	tid_244
tid_245	tid_245
tid_247	tid_247
tid_248	tid_248
tid_251	tid_251
tid_252	tid_252
tid_253	tid_253
tid_254	tid_254
tid_255	tid_255
tid_256	tid_256
tid_257	tid_257
tid_258	tid_258
tid_260	tid_260
tid_263	tid_263
tid_265	tid_265
tid_266	tid_266
tid_267	tid_267
tid_268	tid_268
tid_27	tid_27
tid_272	tid_272
tid_274	tid_274
tid_276	tid_276
tid_281	tid_281
tid_282	tid_282
tid_284	tid_284
tid_285	tid_285
tid_286	tid_286
tid_287	tid_287
tid_29	tid_29
tid_292	tid_292
tid_293	tid_293
tid_294	tid_294
tid_298	tid_298
tid_299	tid_299
tid_3	tid_3
tid_300	tid_300
tid_301	tid_301
tid_304	tid_304
tid_31	tid_31
tid_311	tid_311
tid_312	tid_312
tid_317	tid_317
tid_319	tid_319
tid_32	tid_32
tid_322	tid_322
tid_323	tid_323
tid_324	tid_324
tid_325	tid_325
tid_327	tid_327
tid_329	tid_329
tid_33	tid_33
tid_330	tid_330
tid_334	tid_334
tid_336	tid_336
tid_338	tid_338
tid_339	tid_339
tid_340	tid_340
tid_342	tid_342
tid_343	tid_343
tid_344	tid_344
tid_349	tid_349
tid_352	tid_352
tid_354	tid_354
tid_355	tid_355
tid_356	tid_356
tid_357	tid_357
tid_358	tid_358
tid_359	tid_359
tid_36	tid_36
tid_360	tid_360
tid_363	tid_363
tid_366	tid_366
tid_367	tid_367
tid_369	tid_369
tid_37	tid_37
tid_38	tid_38
tid_4	tid_4
tid_40	tid_40
tid_458	tid_458
tid_46	tid_46
tid_463	tid_463
tid_47	tid_47
tid_48	tid_48
tid_49	tid_49
tid_51	tid_51
tid_52	tid_52
tid_53	tid_53
tid_55	tid_55
tid_58	tid_58
tid_6	tid_6
tid_60	tid_60
tid_600	tid_600
tid_601	tid_601
tid_604	tid_604
tid_605	tid_605
tid_606	tid_606
tid_607	tid_607
tid_608	tid_608
tid_609	tid_609
tid_61	tid_61
tid_610	tid_610
tid_611	tid_611
tid_612	tid_612
tid_613	tid_613
tid_614	tid_614
tid_615	tid_615
tid_616	tid_616
tid_617	tid_617
tid_618	tid_618
tid_619	tid_619
tid_62	tid_62
tid_620	tid_620
tid_621	tid_621
tid_622	tid_622
tid_623	tid_623
tid_626	tid_626
tid_627	tid_627
tid_628	tid_628
tid_629	tid_629
tid_63	tid_63
tid_630	tid_630
tid_631	tid_631
tid_632	tid_632
tid_633	tid_633
tid_637	tid_637
tid_638	tid_638
tid_64	tid_64
tid_640	tid_640
tid_641	tid_641
tid_642	tid_642
tid_643	tid_643
tid_644	tid_644
tid_645	tid_645
tid_646	tid_646
tid_647	tid_647
tid_648	tid_648
tid_649	tid_1211
tid_65	tid_65
tid_650	tid_650
tid_651	tid_651
tid_652	tid_652
tid_653	tid_653
tid_654	tid_654
tid_657	tid_657
tid_658	tid_658
tid_659	tid_659
tid_66	tid_66
tid_660	tid_660
tid_661	tid_661
tid_662	tid_662
tid_664	tid_664
tid_665	tid_665
tid_667	tid_667
tid_668	tid_668
tid_669	tid_669
tid_67	tid_67
tid_670	tid_670
tid_671	tid_671
tid_672	tid_672
tid_673	tid_673
tid_674	tid_674
tid_676	tid_676
tid_677	tid_677
tid_678	tid_678
tid_679	tid_679
tid_68	tid_68
tid_681	tid_681
tid_683	tid_683
tid_684	tid_684
tid_686	tid_686
tid_687	tid_687
tid_689	tid_689
tid_69	tid_69
tid_691	tid_691
tid_692	tid_692
tid_693	tid_693
tid_695	tid_695
tid_696	tid_696
tid_699	tid_699
tid_700	tid_700
tid_701	tid_701
tid_702	tid_702
tid_703	tid_703
tid_704	tid_704
tid_705	tid_705
tid_706	tid_706
tid_707	tid_707
tid_708	tid_708
tid_709	tid_709
tid_71	tid_71
tid_710	tid_710
tid_711	tid_711
tid_712	tid_712
tid_713	tid_713
tid_714	tid_714
tid_715	tid_715
tid_716	tid_716
tid_717	tid_717
tid_718	tid_718
tid_719	tid_719
tid_720	tid_720
tid_721	tid_721
tid_722	tid_722
tid_723	tid_723
tid_725	tid_725
tid_726	tid_726
tid_727	tid_727
tid_728	tid_728
tid_729	tid_729
tid_73	tid_73
tid_730	tid_730
tid_731	tid_731
tid_732	tid_732
tid_733	tid_733
tid_734	tid_734
tid_735	tid_735
tid_737	tid_737
tid_738	tid_738
tid_739	tid_739
tid_74	tid_74
tid_740	tid_740
tid_741	tid_741
tid_742	tid_742
tid_743	tid_743
tid_744	tid_744
tid_745	tid_745
tid_746	tid_746
tid_747	tid_747
tid_748	tid_748
tid_75	tid_75
tid_750	tid_750
tid_751	tid_751
tid_753	tid_753
tid_754	tid_754
tid_755	tid_755
tid_756	tid_756
tid_757	tid_757
tid_760	tid_760
tid_761	tid_761
tid_762	tid_762
tid_764	tid_764
tid_765	tid_765
tid_766	tid_766
tid_767	tid_767
tid_768	tid_768
tid_769	tid_769
tid_770	tid_770
tid_771	tid_771
tid_772	tid_772
tid_773	tid_773
tid_774	tid_774
tid_775	tid_775
tid_776	tid_776
tid_777	tid_777
tid_778	tid_778
tid_779	tid_779
tid_78	tid_78
tid_780	tid_780
tid_781	tid_781
tid_782	tid_782
tid_784	tid_784
tid_785	tid_785
tid_786	tid_786
tid_787	tid_787
tid_788	tid_788
tid_789	tid_789
tid_790	tid_790
tid_791	tid_791
tid_792	tid_792
tid_793	tid_793
tid_794	tid_794
tid_795	tid_795
tid_797	tid_797
tid_798	tid_798
tid_799	tid_799
tid_8	tid_8
tid_80	tid_80
tid_800	tid_800
tid_81	tid_81
tid_82	tid_82
tid_83	tid_83
tid_84	tid_84
tid_85	tid_85
tid_86	tid_86
tid_87	tid_87
tid_88	tid_88
tid_89	tid_89
tid_9	tid_9
tid_90	tid_90
tid_901	tid_901
tid_903	tid_903
tid_904	tid_904
tid_905	tid_905
tid_906	tid_906
tid_907	tid_907
tid_91	tid_91
tid_910	tid_910
tid_913	tid_913
tid_914	tid_914
tid_915	tid_915
tid_916	tid_916
tid_917	tid_917
tid_919	tid_919
tid_92	tid_92
tid_920	tid_920
tid_922	tid_922
tid_923	tid_923
tid_924	tid_924
tid_925	tid_925
tid_926	tid_926
tid_927	tid_927
tid_928	tid_928
tid_93	tid_93
tid_930	tid_1054
tid_932	tid_932
tid_933	tid_933
tid_935	tid_935
tid_936	tid_936
tid_937	tid_937
tid_938	tid_938
tid_939	tid_939
tid_94	tid_94
tid_940	tid_940
tid_941	tid_941
tid_942	tid_942
tid_943	tid_943
tid_946	tid_946
tid_947	tid_947
tid_948	tid_948
tid_949	tid_949
tid_95	tid_95
tid_950	tid_950
tid_951	tid_951
tid_952	tid_952
tid_953	tid_953
tid_954	tid_954
tid_956	tid_956
tid_957	tid_957
tid_958	tid_958
tid_959	tid_959
tid_96	tid_96
tid_960	tid_960
tid_962	tid_962
tid_963	tid_963
tid_964	tid_964
tid_966	tid_966
tid_967	tid_967
tid_97	tid_97
tid_970	tid_970
tid_971	tid_971
tid_974	tid_974
tid_976	tid_976
tid_977	tid_977
tid_978	tid_978
tid_979	tid_979
tid_98	tid_98
tid_980	tid_980
tid_981	tid_981
tid_982	tid_982
tid_983	tid_983
tid_984	tid_984
tid_986	tid_986
tid_987	tid_987
tid_988	tid_988
tid_989	tid_989
tid_99	tid_99
tid_990	tid_990
tid_991	tid_991
tid_992	tid_992
tid_993	tid_993
tid_995	tid_995
tid_996	tid_996
tid_997	tid_997
tid_998	tid_998
